id,info
NEWS00237_1,0
NEWS00237_2,0
NEWS00237_3,0
NEWS00237_4,0
NEWS00237_5,0
NEWS00237_6,0
NEWS00237_7,0
NEWS00237_8,0
NEWS00237_9,0
NEWS00237_10,0
NEWS00237_11,0
NEWS00237_12,0
NEWS00237_13,0
NEWS00237_14,0
NEWS00237_15,0
NEWS00237_16,0
NEWS00237_17,0
NEWS00237_18,0
NEWS00237_19,0
NEWS00237_20,0
NEWS00237_21,1
NEWS00237_22,1
NEWS00237_23,0
NEWS04155_1,0
NEWS04155_2,0
NEWS04155_3,0
NEWS04155_4,0
NEWS04155_5,0
NEWS04155_6,0
NEWS04155_7,0
NEWS04155_8,0
NEWS04155_9,0
NEWS04155_10,0
NEWS04155_11,0
NEWS04155_12,0
NEWS04155_13,0
NEWS04155_14,0
NEWS04155_15,1
NEWS04155_16,1
NEWS04155_17,0
NEWS01556_1,0
NEWS01556_2,0
NEWS01556_3,0
NEWS01556_4,0
NEWS01556_5,0
NEWS01556_6,0
NEWS01556_7,0
NEWS01556_8,0
NEWS01556_9,0
NEWS01556_10,1
NEWS01556_11,1
NEWS01556_12,0
NEWS06392_1,0
NEWS06392_2,0
NEWS06392_3,0
NEWS06392_4,1
NEWS06392_5,1
NEWS06392_6,0
NEWS01373_1,1
NEWS01373_2,0
NEWS01373_3,0
NEWS01373_4,0
NEWS01373_5,0
NEWS01373_6,0
NEWS01373_7,0
NEWS01373_8,0
NEWS01373_9,0
NEWS01373_10,0
NEWS01373_11,0
NEWS01373_12,0
NEWS01373_13,0
NEWS01373_14,0
NEWS01373_15,0
NEWS01373_16,1
NEWS01373_17,1
NEWS01373_18,0
NEWS06731_1,0
NEWS06731_2,0
NEWS06731_3,0
NEWS06731_4,0
NEWS06731_5,0
NEWS06731_6,0
NEWS06731_7,0
NEWS06731_8,0
NEWS06731_9,0
NEWS06731_10,0
NEWS06731_11,0
NEWS06731_12,0
NEWS06731_13,0
NEWS06731_14,0
NEWS06731_15,0
NEWS06731_16,0
NEWS06731_17,0
NEWS06731_18,0
NEWS06731_19,0
NEWS06731_20,0
NEWS06731_21,0
NEWS06731_22,0
NEWS06731_23,1
NEWS06731_24,1
NEWS06731_25,0
NEWS01401_1,0
NEWS01401_2,0
NEWS01401_3,0
NEWS01401_4,0
NEWS01401_5,0
NEWS01401_6,1
NEWS01401_7,1
NEWS01401_8,0
NEWS04182_1,0
NEWS04182_2,1
NEWS04182_3,1
NEWS04182_4,0
NEWS07640_1,0
NEWS07640_2,1
NEWS07640_3,1
NEWS07640_4,1
NEWS07640_5,0
NEWS05719_1,0
NEWS05719_2,0
NEWS05719_3,0
NEWS05719_4,0
NEWS05719_5,0
NEWS05719_6,0
NEWS05719_7,0
NEWS05719_8,0
NEWS05719_9,0
NEWS05719_10,1
NEWS05719_11,1
NEWS05719_12,0
NEWS04001_1,0
NEWS04001_2,0
NEWS04001_3,0
NEWS04001_4,0
NEWS04001_5,0
NEWS04001_6,0
NEWS04001_7,0
NEWS04001_8,0
NEWS04001_9,1
NEWS04001_10,1
NEWS04001_11,0
NEWS00603_1,0
NEWS00603_2,0
NEWS00603_3,0
NEWS00603_4,0
NEWS00603_5,0
NEWS00603_6,0
NEWS00603_7,0
NEWS00603_8,0
NEWS00603_9,0
NEWS00603_10,0
NEWS00603_11,0
NEWS00603_12,0
NEWS00603_13,0
NEWS00603_14,1
NEWS00603_15,1
NEWS00603_16,0
NEWS08493_1,0
NEWS08493_2,0
NEWS08493_3,0
NEWS08493_4,0
NEWS08493_5,0
NEWS08493_6,0
NEWS08493_7,0
NEWS08493_8,0
NEWS08493_9,0
NEWS08493_10,0
NEWS08493_11,0
NEWS08493_12,0
NEWS08493_13,0
NEWS08493_14,0
NEWS08493_15,0
NEWS08493_16,0
NEWS08493_17,0
NEWS08493_18,0
NEWS08493_19,0
NEWS08493_20,0
NEWS08493_21,0
NEWS08493_22,0
NEWS08493_23,0
NEWS08493_24,0
NEWS08493_25,0
NEWS08493_26,1
NEWS08493_27,1
NEWS08493_28,0
NEWS04674_1,0
NEWS04674_2,0
NEWS04674_3,0
NEWS04674_4,0
NEWS04674_5,0
NEWS04674_6,0
NEWS04674_7,0
NEWS04674_8,0
NEWS04674_9,0
NEWS04674_10,0
NEWS04674_11,0
NEWS04674_12,0
NEWS04674_13,0
NEWS04674_14,0
NEWS04674_15,0
NEWS04674_16,1
NEWS04674_17,1
NEWS04674_18,0
NEWS01909_1,0
NEWS01909_2,0
NEWS01909_3,0
NEWS01909_4,0
NEWS01909_5,0
NEWS01909_6,0
NEWS01909_7,0
NEWS01909_8,0
NEWS01909_9,0
NEWS01909_10,0
NEWS01909_11,0
NEWS01909_12,0
NEWS01909_13,0
NEWS01909_14,0
NEWS01909_15,0
NEWS01909_16,0
NEWS01909_17,0
NEWS01909_18,0
NEWS01909_19,0
NEWS01909_20,0
NEWS01909_21,0
NEWS01909_22,0
NEWS01909_23,1
NEWS01909_24,1
NEWS01909_25,0
NEWS01717_1,0
NEWS01717_2,0
NEWS01717_3,0
NEWS01717_4,0
NEWS01717_5,0
NEWS01717_6,0
NEWS01717_7,0
NEWS01717_8,1
NEWS01717_9,0
NEWS08443_1,0
NEWS08443_2,0
NEWS08443_3,0
NEWS08443_4,0
NEWS08443_5,0
NEWS08443_6,0
NEWS08443_7,0
NEWS08443_8,0
NEWS08443_9,0
NEWS08443_10,0
NEWS08443_11,0
NEWS08443_12,0
NEWS08443_13,0
NEWS08443_14,0
NEWS08443_15,0
NEWS08443_16,0
NEWS08443_17,0
NEWS08443_18,0
NEWS08443_19,0
NEWS08443_20,0
NEWS08443_21,1
NEWS08443_22,1
NEWS08443_23,0
NEWS01110_1,0
NEWS01110_2,0
NEWS01110_3,0
NEWS01110_4,0
NEWS01110_5,0
NEWS01110_6,0
NEWS01110_7,0
NEWS01110_8,0
NEWS01110_9,0
NEWS01110_10,0
NEWS01110_11,0
NEWS01110_12,1
NEWS01110_13,1
NEWS01110_14,0
NEWS05863_1,0
NEWS05863_2,0
NEWS05863_3,0
NEWS05863_4,0
NEWS05863_5,0
NEWS05863_6,0
NEWS05863_7,0
NEWS05863_8,1
NEWS05863_9,1
NEWS05863_10,0
NEWS07803_1,0
NEWS07803_2,0
NEWS07803_3,0
NEWS07803_4,0
NEWS07803_5,0
NEWS07803_6,0
NEWS07803_7,0
